type,name,bloat,waste
table,public.audit_logs,4.3,104 kB
table,public.user_roles,3.0,16 kB
index,public.user_roles::user_roles_pkey,2.0,8192 bytes
index,public.profiles::profiles_pkey,2.0,8192 bytes
index,public.configuracoes_sistema::configuracoes_sistema_empresa_id_chave_key,2.0,8192 bytes
index,public.configuracoes_sistema::configuracoes_sistema_pkey,2.0,8192 bytes
index,public.profiles::idx_profiles_force_password_change,2.0,8192 bytes
index,public.empresas::idx_empresas_slug_unique,2.0,8192 bytes
index,public.empresas::empresas_slug_key,2.0,8192 bytes
index,public.empresas::empresas_pkey,2.0,8192 bytes
index,public.empresa_config::idx_empresa_config_empresa_id,2.0,8192 bytes
index,public.empresa_config::idx_empresa_config_dominio_custom,2.0,8192 bytes
index,public.dados_empresa::dados_empresa_empresa_id_key,2.0,8192 bytes
index,public.dados_empresa::dados_empresa_pkey,2.0,8192 bytes
index,public.empresa_config::empresa_config_dominio_custom_key,2.0,8192 bytes
index,public.empresa_config::empresa_config_pkey,2.0,8192 bytes
index,public.empresa_config::empresa_config_empresa_id_key,2.0,8192 bytes
index,public.user_roles::user_roles_user_id_empresa_id_role_key,2.0,8192 bytes
index,public.subscriptions::idx_subscriptions_asaas_subscription_id,0.0,8192 bytes
index,public.subscriptions::idx_subscriptions_asaas_customer_id,0.0,8192 bytes
index,public.subscriptions::idx_subscriptions_billing_provider,0.0,8192 bytes
index,public.audit_logs::idx_audit_logs_entity,1.0,0 bytes
table,public.configuracoes_sistema,1.0,0 bytes
table,public.empresa_config,1.0,0 bytes
table,public.empresas,1.0,0 bytes
index,public.audit_logs::idx_audit_logs_user_created_at,1.0,0 bytes
table,public.profiles,1.0,0 bytes
table,public.dados_empresa,1.0,0 bytes
index,public.audit_logs::audit_logs_pkey,0.5,0 bytes
index,public.audit_logs::idx_audit_logs_action_created_at,0.5,0 bytes
index,public.audit_logs::idx_audit_logs_empresa_created,0.5,0 bytes
index,public.audit_logs::idx_audit_logs_request_id,0.5,0 bytes
index,public.subscriptions::subscriptions_pkey,0.0,0 bytes
table,public.contract_versions,0.0,0 bytes
table,public.contracts,0.0,0 bytes
table,public.plans,0.0,0 bytes
index,public.contracts::idx_contracts_empresa_created_at,0.0,0 bytes
index,public.contract_versions::idx_contract_versions_empresa_id,0.0,0 bytes
index,public.contracts::contracts_pkey,0.0,0 bytes
index,public.contract_versions::idx_contract_versions_contract_version,0.0,0 bytes
index,public.contract_versions::contract_versions_pkey,0.0,0 bytes
index,public.plans::idx_plans_code,0.0,0 bytes
index,public.plans::plans_code_key,0.0,0 bytes
index,public.plans::plans_pkey,0.0,0 bytes
index,public.contract_versions::contract_versions_contract_id_version_key,0.0,0 bytes
table,public.subscriptions,0.0,0 bytes
index,public.subscriptions::idx_subscriptions_empresa_status,0.0,0 bytes
index,public.subscriptions::idx_subscriptions_renewal_at,0.0,0 bytes
index,public.subscriptions::subscriptions_empresa_id_key,0.0,0 bytes
