name,size,percent_used,index_scans,seq_scans,unused
public.idx_audit_logs_entity,32 kB,0%,0,0,t
public.idx_audit_logs_user_created_at,32 kB,0%,0,0,t
public.idx_login_attempts_blocked_until,16 kB,0%,0,0,t
public.idx_support_tickets_empresa_user_status_updated,16 kB,100%,1198,0,f
public.ux_planos_preventivos_codigo,16 kB,0%,0,0,t
public.idx_billing_customers_status,16 kB,0%,0,0,t
public.idx_ordens_servico_empresa_mecanico_codigo,16 kB,0%,0,0,t
public.idx_empresas_slug_unique,16 kB,0%,0,0,t
public.idx_audit_logs_action_created_at,16 kB,0%,0,0,t
public.empresa_config_dominio_custom_key,16 kB,0%,0,0,t
public.idx_operational_logs_request_id,16 kB,0%,0,0,t
public.idx_contracts_empresa_created_at,16 kB,100%,478,0,f
public.billing_customers_empresa_id_key,16 kB,100%,4,0,f
public.planos_preventivos_pkey,16 kB,100%,7,0,f
public.idx_subscriptions_billing_provider,16 kB,0%,0,0,t
public.idx_planos_preventivos_empresa_proxima,16 kB,100%,1681,0,f
public.empresa_config_empresa_id_key,16 kB,100%,50,0,f
public.solicitacoes_manutencao_pkey,16 kB,100%,14,0,f
public.equipamentos_pkey,16 kB,100%,44,0,f
public.ux_equipamentos_tag,16 kB,100%,16,0,f
public.empresas_slug_key,16 kB,100%,636,0,f
public.maintenance_schedule_tipo_origem_id_key,16 kB,100%,9,0,f
public.contracts_pkey,16 kB,100%,615,0,f
public.ux_maintenance_schedule_tipo_origem,16 kB,100%,3,0,f
public.idx_empresa_config_empresa_id,16 kB,100%,1281,0,f
public.idx_enterprise_audit_logs_table_created_at,16 kB,100%,8,0,f
public.equipamentos_empresa_id_tag_key,16 kB,100%,616,0,f
public.idx_ordens_servico_empresa_status,16 kB,100%,1533,0,f
public.idx_maintenance_schedule_empresa_data,16 kB,100%,468,0,f
public.ix_solicitacoes_status,16 kB,100%,33,0,f
public.dados_empresa_pkey,16 kB,100%,6,0,f
public.document_sequences_empresa_id_tipo_documento_key,16 kB,100%,436,0,f
public.document_sequences_pkey,16 kB,100%,10,0,f
public.idx_subscriptions_renewal_at,16 kB,0%,0,0,t
public.idx_subscriptions_empresa_status,16 kB,100%,1964,0,f
public.mecanicos_pkey,16 kB,100%,3,0,f
public.idx_enterprise_audit_logs_empresa_created_at,16 kB,100%,434,0,f
public.operational_logs_pkey,16 kB,0%,0,0,t
public.configuracoes_sistema_empresa_id_chave_key,16 kB,100%,5791,0,f
public.audit_logs_pkey,16 kB,0%,0,0,t
public.idx_ordens_servico_empresa_mecanico_resp,16 kB,0%,0,0,t
public.owner_impersonation_sessions_pkey,16 kB,100%,2,0,f
public.idx_profiles_force_password_change,16 kB,0%,0,0,t
public.planos_preventivos_empresa_id_codigo_key,16 kB,100%,8,0,f
public.owner_impersonation_sessions_session_token_key,16 kB,0%,0,0,t
public.ix_planos_preventivos_proxima,16 kB,100%,600,0,f
public.idx_operational_logs_empresa_created,16 kB,100%,20,0,f
public.enterprise_audit_logs_pkey,16 kB,100%,1,0,f
public.empresa_config_pkey,16 kB,100%,9,0,f
public.billing_customers_pkey,16 kB,0%,0,0,t
public.idx_owner_impersonation_sessions_owner_empresa_active,16 kB,100%,4,0,f
public.login_attempts_pk,16 kB,100%,19,0,f
public.idx_mecanicos_empresa_codigo_acesso,16 kB,0%,0,0,t
public.idx_plans_code,16 kB,100%,70,0,f
public.subscriptions_pkey,16 kB,100%,265,0,f
public.plans_pkey,16 kB,100%,4196,0,f
public.plans_code_key,16 kB,100%,3,0,f
public.profiles_pkey,16 kB,100%,18418,0,f
public.idx_support_tickets_unread_owner,16 kB,0%,0,0,t
public.subscriptions_empresa_id_key,16 kB,100%,139,0,f
public.idx_solicitacoes_manutencao_empresa_id,16 kB,100%,404,0,f
public.idx_audit_logs_empresa_created,16 kB,100%,510,0,f
public.idx_audit_logs_request_id,16 kB,100%,171,0,f
public.idx_support_tickets_unread_client,16 kB,0%,0,0,t
public.configuracoes_sistema_pkey,16 kB,100%,9,0,f
public.support_tickets_pkey,16 kB,100%,13,0,f
public.idx_empresa_config_dominio_custom,16 kB,100%,7936,0,f
public.ix_ordens_servico_status,16 kB,100%,616,0,f
public.idx_enterprise_audit_logs_empresa_created,16 kB,100%,135,0,f
public.ordens_servico_pkey,16 kB,100%,4,0,f
public.idx_support_tickets_empresa_status,16 kB,100%,732,0,f
public.idx_login_attempts_window_start,16 kB,0%,0,0,t
public.idx_operational_logs_scope_created,16 kB,0%,0,0,t
public.empresas_pkey,16 kB,100%,5753,0,f
public.execucoes_os_pkey,16 kB,100%,3,0,f
public.maintenance_schedule_pkey,16 kB,100%,3,0,f
public.user_roles_user_id_empresa_id_role_key,16 kB,100%,68791,0,f
public.user_roles_pkey,16 kB,100%,35,0,f
public.dados_empresa_empresa_id_key,16 kB,100%,2302,0,f
public.ip_rate_limits_scope_ip_address_identifier_window_start_key,8192 bytes,0%,0,0,t
public.idx_planos_lubrificacao_empresa_proxima,8192 bytes,100%,466,0,f
public.idx_system_error_events_request_id,8192 bytes,0%,0,0,t
public.idx_ai_root_cause_equip,8192 bytes,100%,14,0,f
public.document_layouts_pkey,8192 bytes,100%,3,0,f
public.db_cleanup_runs_pkey,8192 bytes,100%,44,0,f
public.idx_system_error_events_empresa_created,8192 bytes,100%,3,0,f
public.atividades_lubrificacao_pkey,8192 bytes,100%,4,0,f
public.orcamentos_manutencao_pkey,8192 bytes,0%,0,0,t
public.edge_refactor_contract_function_name_key,8192 bytes,100%,5,0,f
public.idx_maintenance_action_suggestions_empresa_status,8192 bytes,100%,47,0,f
public.idx_tenant_users_tenant_user,8192 bytes,0%,0,0,t
public.rbac_roles_code_key,8192 bytes,100%,8,0,f
public.areas_empresa_id_planta_id_codigo_key,8192 bytes,100%,450,0,f
public.idx_subscriptions_asaas_customer_id,8192 bytes,0%,0,0,t
public.contract_versions_contract_id_version_key,8192 bytes,0%,0,0,t
public.rate_limits_pkey,8192 bytes,100%,4,0,f
public.idx_subscription_payments_empresa_id,8192 bytes,100%,187,0,f
public.plantas_empresa_id_codigo_key,8192 bytes,100%,450,0,f
public.company_subscriptions_empresa_id_key,8192 bytes,100%,86,0,f
public.idx_ai_root_cause_tag,8192 bytes,100%,2,0,f
public.rbac_permissions_pkey,8192 bytes,100%,18,0,f
public.templates_preventivos_pkey,8192 bytes,100%,4,0,f
public.analise_causa_raiz_pkey,8192 bytes,100%,9,0,f
public.ip_rate_limits_pkey,8192 bytes,0%,0,0,t
public.idx_billing_invoices_status_due,8192 bytes,0%,0,0,t
public.execucoes_os_pausas_pkey,8192 bytes,0%,0,0,t
public.company_subscriptions_pkey,8192 bytes,0%,0,0,t
public.ai_root_cause_analysis_pkey,8192 bytes,100%,14,0,f
public.idx_medicoes_preditivas_empresa_status,8192 bytes,100%,2371,0,f
public.feature_flags_pkey,8192 bytes,100%,19,0,f
public.idx_subscription_payments_provider,8192 bytes,100%,1,0,f
public.rbac_permissions_code_key,8192 bytes,100%,14,0,f
public.idx_company_subscriptions_plan_status,8192 bytes,0%,0,0,t
public.rbac_role_permissions_pkey,8192 bytes,100%,18,0,f
public.idx_system_notifications_empresa_status,8192 bytes,100%,47,0,f
public.execucoes_preventivas_pkey,8192 bytes,100%,3,0,f
public.servicos_preventivos_pkey,8192 bytes,100%,2,0,f
public.edge_refactor_contract_pkey,8192 bytes,100%,4,0,f
public.tenant_users_pkey,8192 bytes,0%,0,0,t
public.plantas_pkey,8192 bytes,100%,2,0,f
public.orcamentos_manutencao_empresa_id_ano_mes_categoria_key,8192 bytes,100%,47,0,f
public.idx_contract_versions_contract_version,8192 bytes,100%,140,0,f
public.sistemas_empresa_id_area_id_codigo_key,8192 bytes,100%,450,0,f
public.idx_company_usage_metrics_month,8192 bytes,0%,0,0,t
public.movimentacoes_materiais_pkey,8192 bytes,100%,4,0,f
public.melhorias_pkey,8192 bytes,100%,2,0,f
public.fmea_pkey,8192 bytes,100%,2,0,f
public.subscription_payments_pkey1,8192 bytes,0%,0,0,t
public.maintenance_action_suggestions_pkey,8192 bytes,0%,0,0,t
public.materiais_os_pkey,8192 bytes,100%,2,0,f
public.idx_ai_root_cause_analysis_empresa_id,8192 bytes,100%,363,0,f
public.rbac_user_roles_pkey,8192 bytes,100%,7,0,f
public.solicitacoes_pkey,8192 bytes,100%,2,0,f
public.idx_ip_rate_limits_scope_ip,8192 bytes,0%,0,0,t
public.componentes_equipamento_pkey,8192 bytes,100%,7,0,f
public.idx_system_error_events_created,8192 bytes,0%,0,0,t
public.idx_subscription_payments_provider_payment_id,8192 bytes,0%,0,0,t
public.permissoes_granulares_empresa_id_user_id_modulo_key,8192 bytes,100%,461,0,f
public.security_logs_pkey,8192 bytes,100%,2,0,f
public.auth_session_transfer_tokens_pkey,8192 bytes,0%,0,0,t
public.idx_execucoes_os_pausas_execucao,8192 bytes,100%,1,0,f
public.sistemas_pkey,8192 bytes,100%,2,0,f
public.idx_subscriptions_asaas_subscription_id,8192 bytes,0%,0,0,t
public.idx_saas_metrics_daily_date,8192 bytes,0%,0,0,t
public.tenants_slug_key,8192 bytes,0%,0,0,t
public.idx_auth_session_transfer_tokens_expires_at,8192 bytes,0%,0,0,t
public.ux_materiais_codigo,8192 bytes,0%,0,0,t
public.contract_versions_pkey,8192 bytes,100%,7,0,f
public.incidentes_ssma_pkey,8192 bytes,100%,1,0,f
public.billing_invoices_pkey,8192 bytes,100%,1,0,f
public.documentos_tecnicos_pkey,8192 bytes,100%,2,0,f
public.rbac_user_roles_user_id_empresa_id_role_id_key,8192 bytes,100%,454,0,f
public.idx_contract_versions_empresa_id,8192 bytes,100%,374,0,f
public.idx_billing_invoices_empresa_due,8192 bytes,100%,3,0,f
public.rbac_roles_pkey,8192 bytes,100%,25,0,f
public.acoes_corretivas_pkey,8192 bytes,100%,14,0,f
public.subscription_payments_pkey,8192 bytes,100%,2,0,f
public.atividades_preventivas_pkey,8192 bytes,100%,7,0,f
public.materiais_empresa_id_codigo_key,8192 bytes,100%,1280,0,f
public.planos_lubrificacao_empresa_id_codigo_key,8192 bytes,100%,4,0,f
public.db_cleanup_run_items_pkey,8192 bytes,100%,4,0,f
public.system_notifications_pkey,8192 bytes,0%,0,0,t
public.saas_metrics_daily_pkey,8192 bytes,0%,0,0,t
public.medicoes_preditivas_pkey,8192 bytes,100%,2,0,f
public.company_usage_metrics_pkey,8192 bytes,100%,3,0,f
public.materiais_pkey,8192 bytes,100%,2,0,f
public.ux_fornecedores_codigo,8192 bytes,0%,0,0,t
public.planos_lubrificacao_pkey,8192 bytes,100%,3,0,f
public.permissoes_trabalho_pkey,8192 bytes,100%,3,0,f
public.avaliacoes_fornecedores_pkey,8192 bytes,100%,3,0,f
public.idx_execucoes_os_pausas_empresa,8192 bytes,100%,47,0,f
public.tenants_pkey,8192 bytes,0%,0,0,t
public.rate_limits_empresa_id_key_key,8192 bytes,100%,251,0,f
public.idx_tenant_users_user_id,8192 bytes,0%,0,0,t
public.execucoes_lubrificacao_pkey,8192 bytes,100%,2,0,f
public.system_error_events_pkey,8192 bytes,0%,0,0,t
public.anomalias_inspecao_pkey,8192 bytes,100%,9,0,f
public.areas_pkey,8192 bytes,100%,9,0,f
public.fornecedores_pkey,8192 bytes,100%,1,0,f
public.permissoes_granulares_pkey,8192 bytes,100%,3,0,f
public.inspecoes_pkey,8192 bytes,100%,1,0,f
public.idx_solicitacoes_empresa_id,8192 bytes,100%,361,0,f
public.contratos_pkey,8192 bytes,100%,6,0,f
public.auth_session_transfer_tokens_code_hash_key,8192 bytes,0%,0,0,t
