name,last_vacuum,last_autovacuum,last_analyze,last_autoanalyze,rowcount,dead_rowcount,autovacuum_threshold,expect_autovacuum,autoanalyze_threshold,expect_autoanalyze
public.audit_logs,"",2026-03-21 23:28,"",2026-03-21 23:28,            26,             0,            55,no,            53,no
public.configuracoes_sistema,"",2026-03-20 01:06,"",2026-03-20 01:36,             2,            21,            50,no,            50,no
public.dados_empresa,"",2026-03-07 03:14,"",2026-03-17 02:41,             4,            37,            51,no,            50,no
public.empresa_config,"","","",2026-03-17 02:41,             4,            36,            51,no,            50,no
public.empresas,"",2026-03-20 00:02,"",2026-03-20 01:58,             1,            12,            50,no,            50,no
public.mecanicos,"","","","",             1,             2,            50,no,            50,no
public.ordens_servico,"","","","",             2,             5,            50,no,            50,no
public.profiles,"",2026-03-15 22:41,"",2026-03-21 22:57,             2,            36,            50,no,            50,no
public.support_tickets,"","","","",             1,            11,            50,no,            50,no
public.user_roles,"",2026-03-19 23:50,"",2026-03-22 00:41,             2,            20,            50,no,            50,no
public.acoes_corretivas,"","","","",            -1,             0,            50,no,            50,no
public.ai_root_cause_analysis,"","","","",            -1,             0,            50,no,            50,no
public.analise_causa_raiz,"","","","",            -1,             0,            50,no,            50,no
public.anomalias_inspecao,"","","","",            -1,             0,            50,no,            50,no
public.areas,"","","","",            -1,             0,            50,no,            50,no
public.atividades_lubrificacao,"","","","",            -1,             0,            50,no,            50,no
public.atividades_preventivas,"","","","",            -1,             0,            50,no,            50,no
public.auth_session_transfer_tokens,"","","","",            -1,             0,            50,no,            50,no
public.billing_customers,"","","","",            -1,             0,            50,no,            50,no
public.billing_invoices,"","","","",            -1,             0,            50,no,            50,no
public.company_subscriptions,"","","","",            -1,             0,            50,no,            50,no
public.company_usage_metrics,"","","","",            -1,             0,            50,no,            50,no
public.componentes_equipamento,"","","","",            -1,             0,            50,no,            50,no
public.contract_versions,"",2026-03-07 10:39,"",2026-03-08 20:02,            -1,             0,            50,no,            50,no
public.contracts,"",2026-03-07 03:17,"",2026-03-15 19:15,            -1,             5,            50,no,            50,no
